filename,transcript,spanish_hits,portuguese_hits,italian_hits,label
effuertepanama_panamsp_sp_1.wav,"Les traigo una versión de sopa de costilla de res con lentejas, sensita para que cualquiera la pueda ser en casa. Arrancamos en la olla colocando unas dos libras de costilla de res con hueso y va a tante carne. Vamos a dorarla por ambos lados y aeregamos cebolla picadita, ajo, apiopicadito, pimentones, un poquito de pimienta. Removemos, agregamos dos ojo de laurel orega no seco, una mediataza de lentejas y aeregamos con somedé res. Si no le quieres agregar con somedé res simplemente le pones sal y lo vas ajustando a tu gusto. Esas cocinar una hora a lo de estapas, vamos a agregar ahora las verduras. Yo solo agregué y yuca, culan, trofrezco, palcoque, teo y dejamos terminar de ablandar la yuca, la carne y todo. Los servimos y a disfrutar familiar, práctico fácil y delicioso. Y recuerda que todo lo consigues en todos los supermercados, el fuerte.",0,0,0,Spanish
esterrates_brazilpt_pt_1.wav,"Eu tenho uma dificuldade na minha dieta que é consumir proteína, não, meus amores. Eu não gosto de comer muita carne. Então, o que eu tive que fazer se comprar um whey? Além de não gostar muito de comer proteína, eu também não gosto de coisa saborizada, tipo morango, chocolate, doce de leite, então eu queria uma coisa neutra. Eu sabia o que eu estava fazendo? Não. Mas pesquisando a quantidade de proteína e o valor que eu podia pagar, esse daqui foi o que se encaixou melhor. Foi baratinho? Não, meus amores. Mas tem de vista que, antes do meu processo de emagrecimento, eu gastava 200 reais numa ida, achou rascaria, e isso daqui foi o investimento. Então, a gente tem que parar com esse espírito de escasseis também, dividindo 2 vezes no cartão de grato. Vividindo 2, quando eu comprar um outro, vou dividindo 2 também. Esse daqui tem 32 gramas de proteína, não tem lactose, não tem açúcar, não tem glutem, zero aditivos. Pela minha pesquisa de mercado, esse daqui foi o que mais compensou para mim. 32 gramas de proteína achei bastante, será que eu vi era tipo 20 poucos. Para quem é fresco, curida assim como eu, com o preço daqui também que tu vai gostar. Mas agora se falarem muito mal, aquele dele dos comentários, eu vou estar trancando. Eu vou ter que estar terminando agora, não é para a gamea de dinheiro, então, vou ter que estar utilizando. Por favor, dá meu milhinho muito.",0,2,0,Portuguese
esterrates_brazilpt_pt_2.wav,"Não é todo mundo que tenha sobrancelha perfeito, então hoje eu vou te mostrar como deixar a tua sobrancelha recuïcível, qual é o produto usar e como usar. E o produto em questão é esse daqui, Art Hill da Catarin Hill. Mas está o que já acha isso, isso daqui é um clau, uma ronde maquiagem artística, por isso o nome Art Hill. Eu já tenho ele há uns dois anos, então em balá de tamanho velha, mas ignora. Agora o pincel que eu uso é uma improvisação, que a gente é pobre, a gente dá um jeito pra tudo. Então eu reutilizo esse pincel de um delineador meu que acabou, mas pode ser qualquer um que você tiver aí, contato que seja bem fininho. Esse tutorial vai ser de uma sobrancelha mais marcada, porque é a única sobrancelha que dá certo em mim por ter poucos pelinhos. Vou começar passando lá na vale, que é uma coisa que eu não consigo viver sempre, porque eu sempre estou tirando os excessos aqui, as sugerinhas. Ah, e deixa eu ser sobrancelha crescer, gente, ela não cresce, e quando cresce é só aqui, ó, os pelinhos que não vão enroçar, não vai ficar bonita, é tudo muito falhado. Então o que me resta, aceitar e fazer com o que eu tenho. Você vai molhar o pincel naquela partinha, botar o dedo aqui pra você ter uma estabilidade, começa sempre do meio, por fim, porque o pincel tá bem sujo de produto, e aqui vai ficar mais escuro pra ficar mais armônico. Outra dúvida que vocês tenham esse, essa partinha ela seca, não seca, não é um problema pra mim. Inclusive pra mim é um requisito ela não seca, porque eu não gosto que aqui dentro ela fique seca, depois de um tempo fica seco. linha embaixo, agora vamos pra linha em cima do meio, para o fim, e fazendo um arco aqui, mais alto, tem que ter um ponto alto. Não é forte a sua sobrancelha, na hora de fazer e deixar ela relaxada, porque a maioria do tempo você vai estar com a cara relaxada. Sempre com a mão bem leve, agora você vem aqui no início, na frente tem que ter a mão mais leve. A gente quer marcado, mas a gente não quer um símbolo da Nike, entendeu? A gente quer uma harmonia aqui. Agora vamos para a parte aqui da frente. Eu tenho esse buraquinho, que é uma cicatriz de cataphora, não era pra ter a sobrancelha bolita, não era? Tinha que colocar a sua mão pra cima e vim debaixo, puxando pra cima alguns pelinhos, tipo assim, imitando pelos. Pode vir com o cotonete para esfumar, e agora você vai molhar o pincel de novo e preencher. Pra dar alguma ilusão de volume, porque a gente não tem pelo, eu gosto de passar gel. Esse daqui é de cabelo, eu prefiro assim porque dura mais e é mais barato, uma escovinha e coloca pra cima os únicos pelinhos que a gente tem aqui dentro do limite da sobrancelha que a gente fez. Ficou assim depois do gel, vai ficar meio brilhoso, mais vai secar. E agora vem com o corretivo, do todo meu pele é um pouquinho mais claro pra dele imitar. Exuma esse corretivo com pincel, olha a diferença de um pra outra. Eu gosto da sobrancelha mais marcada, se você não gosta, não tem problema você fazer do jeito que você sentiu melhor. Fiz as duas e esse é o resultado. Você vai testar o que dá certo pra você, mais arqueado, mais fina, mais grossa, vai do seu gosto. Manda esse vídeo pra aquela pessoa que você conhece que tenha sobre o seu herfina e deixa aqui embaixo nos comentários como essa sobre a se ele e como você gosta. Se você gosta mais fina, se você gosta mais grossa, deixa aqui nos comentários pra mim.",0,6,0,Portuguese
majno_northit_it_1.wav,"è il momento di indossare le ragazze qua, ragazzi, io sto anche uscendo centrali combo, ma siamo fuori, teasta! Allora oggi c'è questo bel sore come prete notare, è il pomeriggio stando a fare un attritivo, coralcone nianiche e ho preso una cosina, ecco la lie, ho trovato un modello, perché non avevo da remess, mi piace tanto e sapete che quando lo faccio questo unboxing, giusto per creare un contenuto divertente in cui ci vestiamo insieme in cui parliamo di mod, di me e capere le cose che ci piacciono, vedo piace sempre tanto anche a voi e non è per mostrare o di mostrare nulla, proprio questo che mi sento senti di fare, non mi sento obligata farla, però mi piace ogni volta ricordarlo, quindi semplicemente mi c'è vedere quei stessi carpe nuove che utilizzerò, spero tanto, queste state, perché di questo colore trovavo sempre tutto o mi rivolta solo da aut, quindi finalmente è arrivato il caldo e belle giornate per la prima volta penso o davvero voglia di estate, io sono una persona che ama inverno, anche se amo il caldo e lo delfredo, però vi piace di più la vita solitamente nei miei esi invernali, non so perché, in essenti mi sembra sempre di perdere tempo, sarà che quest'anno coltipato della misizia davvero belle, sto benissimo col ferentato che ne so e quindi non vedo l'ora di costruire ricordi insieme a queste persone, quindi di partire, poterli dedicare magari tanto tempo, tempo che invece avevano il suo malissimo, ma le cose di lavoro da fare durante l'inverno non posso appunto dedicare di tutte le ore, sono maliscono gli utili che vorrei, che invece posso dedicare all'ora appunto in estate. Allora fare l'ambox in che parlate queste cose, così tanto passionali e difficile, quindi soffermiamoci un attimo su questo modello che così al caso è ancora più bello, è un coloroliva, è un granemeno al top, va bene, è molto bello, è quella qua, ci andiamo anche a ovviamente a fuggi to look. Ho pensato di inziosare questo completo, preso la zara, così andiamo safe, sappiamo già che, in tecnicamente sta bene, non lo avevo a vilare troppe cose, è molto semplice, c'è anche fanna e nello, si può interessare, è anche comodo, però magari non so ma su probabilmente avere una jacketina, qualcosa non è ranta fa così caldo, che secondo me è fortuna, ovviamente non c'è solo bisogno, quindi mi cambio e attivo, è come qua, molto, farino, forse un po' strattino al top, che fa un po' di fatto, non mi dà pastille, come cosa, vado con un po' di brillantini, questi qua sono di Rituals e mi piace applicarli questi, così con il pennello così evito disporcare, qua sul decolte, che fa un bel lissimo effetto luminoso, mentre se orresti del corpo sono andata a mettere, questa crema non lo fa taposta di le ordinarie e l'avado mettere anche oggi sulle braccia, mi raccomando anzi, se sapete che starete fuori durante la giornata così in mente della crema con la protezione solare, adesso sono tanto che ha scututo il sole selleva e quindi la sera giustamente sulle braccia, c'è che non serve, di giorno assolutamente sul viso invece la metto sempre. I tiamo con un po' di accessori, dato che l'hardware è négold, né argento, né silver, vado con un po' un mix, realtà anche per la vorsa poi vediamo magari, però non siamo limitati a qua ad un singolo colore, così questo qua vallo anche a metà, ore chini prendo l'oro, oro, praticamente dei bottoni molto belliché riprendono anche un po' le zigrinature del bracciale, per quanto riguarda i capelli si stiamo un attimino e metto un po' di lacca così, fatto come un po' di BBH era che devono essere disciplinati e questa qua è la spazio, la quella perfetta, questa rigia cadia ad esempio, per sistemare senza avere con l'effetto rigato diciamo delle spazio, dei pettini, questa è cuore andetutto molto più levgato, mentre per compatta qua le lunghezze, vado con lui di coloro wow che stupendo perché ha con le te dei leggeri brillantimi e quindi va proprio a glossarvi siano le lunghezze, ma soprattutto le ha appunto compatta tra di loro, questo qua è molto bello poi anche da applicare con il summer residuit, appunto alla patatura, è molto bello questo è tutto, ve lo consiglio molto anche perché comunque non era rimane pesante, qui c'è un incubo borsa perché ho una cosa verde così per dare proprio quel tocco di coloro anche perché non l'ha usato mai, non l'ha usato come la uso come questi luca non saprei quando oppure la pautce, ce l'hanno vado a scegliere, ci sta proprio bene anche occhiali o due proposte o questo modello di Isabelle Marante che è letteralmente lo stesso colore, se si nota del color del coordinato, oppure questo qua che è di bottega, che invece è un po' più verde, che dite? Volevo entraccion verde, ma la sua ragazzi, io tra colori esgargenti e comunque nude, preferisco sempre in botte quindi la vostra ragazza uscirà così profumo vado con ciali, questo qua è vanilla, è stato proprio di vanilla, un po' molto, perfetto, un busegembor, perché tanto è piccolimo sottortarlo, poi qua ci sta dentro pure una altra persona, è super capiente, se non tire profumo è l'ado, si vedono? Certo, posso fare un'andare con la mia combo per suid, metto margarita, questa qua è delle due combo, anche se poi si passano inixare quella un po' più chiara, ragazzi si stanno non crea una meraviglia, io le amo e durano sentissimo, poi le fai realtà sono dei nude, che stanno venso qual si asilucca, io le sto amando e al centro vado con milano, ma anche al sole poi quanto novelle, poi sono belle, mmm, diratanti con fortevoli, non ho fissato il trucco, quindi lo faccio, direttamente così qua con voi e pronta, un altro momento di apprezzamento, ci piace, pronta per il mio aperitivo con le mie richette, poi ragazzi non è faccio, ma si vende, bene, ciao!",0,0,1,Italian
mariapombo_castsp_sp_1.wav,"A ver, vamos a jugar a la tucha envenenada. Y en coge la tucha envenenada la primera, la hace un masaje a la to. No. Con crema. Que la cosa me he ebito ahora? Claro, para que haya atención. ¿Quiere? Te dije tu primera. Pero se va a hacer un poco más. No, que no hagas imputando ni puedes carmejar. Ya. Vale. Tu. Vale. Gídate. Gídate. ¿A toque el jane mira? Claro. ¿Eh? ¿Qué he hecho esta? Ya. Sí. Es que si perfectamente vas a elegir. Ya sé que va a deselectrir. ¿Qué empieza a tu? Tu has elegido. No, tu tienes que comerte una. Vale. A ver si no está amenenada. Mal de bien. No. No. No. No. ¿A toque el jane mira? No, he aceptado una asunto el masaje. No. No, me he aceptado. No. Me ha aceptado. No, si aceptaba. No. No. Ya aceptaba. A que probé a ese gestión está. No. Esta. Me debes de masaje a la a. No, tu a mí. Me revacha aquí. No para lo que me derres tu masaje. Que no hay gente. Es tanto grabado. ¿Qué ha aquí lo hacerte? No para lo que me dice. Como no hay gente, no hay nada a pierde. No, yo pensé que era que la se estaba. No, no, no. Que cago. Me hijas. ¿Cómo me da revanche? No, me voy a jantar aquí. Mira, me voy. Es que hay algunas que no se ven. Ya. Ya. ¿Palo? ¿Qué me has mirado? ¿Qué parece? Ya. Vale. No. No. No. No. No. No. Ya se va a hacer aquí, ¿o? Están. ¿Qué te lo has de hacer? No, no. No. No. No. Ya se va a hacer aquí, ¿o? Están. Que tu no has de hacer aquí. No, no, no. No. No. No. No. No. No. No. No me ha comido. No. No. No te le gis. No. Me encabueles. Vale, por tu medio de su no. Oh, yo me llano. ¿Se agata sin comer ahora, no? No, no. No. No.",1,0,0,Spanish
mariapombo_castsp_sp_2.wav,"a ver quiero hablar de un tema que yo mucho tiempo queriendo hacer pero justo ayer me escribió una serie de hora y dije vale, creo que ahora es el momento. Mañana 13 de junio, muchos médicos de la sanidad pública están organizando una huelga porque están trabajando bajo unas condiciones que no son justas, no usas para ellos ni tampoco para nosotros los pacientes. La razón el estatuto Marco, yo no tenía ni idea de lo que era pero me han explicado que es una ley que regula las condiciones laborales de los médicos y que lleva así naturalizas 20 años. Creo que todos estamos de acuerdo en que hay que cuidar aquí en los cuidad y que el sistema lleva años funcionando de forma pésima por decirlo alguna manera. No me ha metido en esto porque todos sabemos que para pedir unas citas son meses que llegas a lústital y el personal sanitario te atiende con agotamiento y es que no me extraña porque es que atención un ciudadano normal entre comillas trabaja 37 horas y media semanalmente. Bueno pues un médico haces a 37 horas y media semanalmente más las guardias y encima estas guardias deberían ser jornadas extraordinarias y pagarlas como tal. Pues no, son jornadas complementarias. Hay médicos que están haciendo 80, 90 100 horas semanales. Para colmo esas guardias no computan como tiempo trabajados a que dedicar a una jubilación no son horas trabajadas. Para resumirlo no cotizan por todo lo que trabajan, solo cotizan pues a 37 horas y medias de jornada complementaria real, no la extraordinaria. Es que con esta manifestación que están organizando no están pidiendo ningún privilegio que para me gustó deberían, están pidiendo dignidad, están pidiendo cuidar de nosotros sin que marse por el camino y es que es un problema que de verdad nos afecta a todos. Yo no sé, creo que deberíamos hablar más de este tema por lo menos ser conscientes, también a la hora de dirir a los hospital y muchas veces también yo como paciente voy y salgo de mal humor porque yo os que me ha tenido, rápido me ha tenido de mal humor, me contestan mal muchas veces luego, luego otras no pero las raídas que están están sobrepasados. En fin, no sé, luego, luego, claro, como no va a haber médicos que se vayan a trabajar fuera, como no va a haber pues esta fuga de gente que salva vidas y no estamos valorando en este país. Así que no sé, yo estoy indignada y por lo menos quería dar voz a toda esta gente que de verdad no puede más.",7,0,0,Spanish
miamadopanama_panamsp_sp_1.wav,"Pero una mujer y yo soy una mujer y yo no sé, yo no sé qué hago ahora. Pero vamos a chocar. Y me la vas acá, 25 veces, cojando de TV, 25 veces no va a muer, ya porque ni plata las quiero, porque no me la regalaron. No me la regalaron. Mi plata yo la escurraro y me la vas a pagar.",0,0,0,Spanish
nattinatasha_dominsp_sp_1.wav,"Hola a ti con una fancita creciendo y preparando todos los detalles para darles a ustedes lo mejor de mi siempre con el corazón a punto de explotar porque tenemos la canción número uno en la radio latina con desde hoy ustedes no saben lo que rán de que eso es para mi poder tener música para siempre que podamos cantar en cualquier momento gracias porque por ustedes esto es posible feliz de que ustedes sean parte de todo este proceso del crecimiento número uno desde hoy, I love you y en el concepto de la mola",1,0,0,Spanish
omegaberrio_panamsp_sp_1.wav,"¿Qué le está pasando a las españoles últimamente? Esto no es normal. A los españoles se les ha ido la luz por un par de horas y empezaron a decir que las latinoamericanos somos casi casi monos. ¿Qué es esa de cómo, Mr. Bar? Los delatan. Ehh, nosotros siempre tenemos un apagón, no es la pela. ¡Muerto, fuck! Todos los comentarios de la gente de la tan. Son unos exagerados, aquí siempre se va a la luz. Malremía con estos españoles. Bueno, pues, eh, os explico, ahora mismo, todo va con electricidad, si no está civilizado en nuestro problema. ¿Qué no está civilizado en nuestro problema? ¿Cómo es eso? O sea, los delatanamericanos no estamos civilizados. No es, eh, seremos cabernícolas. Trogloditas. ¡No, no, no, no, no! Mira, ¿dónde yo vivo? Esto es una pantalla verde, esto no existe. Yo vivo en una cueva con dos monos. ¡Coy pariente del mono! Se le fue la luz y para ahí enfaliteramente la poca lepsis. Empezaron a decir que era la cuarentena dos punto cero. El delamericano os podéis parar, guía, por favor. Que hemos vivido una cuarentena todos. Daniel cerebral permanente. No le puedes decir que se calmen, que están exagerando, porque se se enojan. Sí, se enojan. ¿Eso es todo? ¿Tú es lo que haces? En el esquema Latinoamérica se nos va a la luz 50 veces por día y no hacemos drama. Son tan civilizados que subieron un tutorial porque no sabían cómo sobrevivir a un par de horas sin luz. ¿Cómo sobrevivir a la balón nación el eléctrico?",4,0,0,Spanish
powerofandreina_panamsp_sp_1.wav,"Me refiero a la gente que me ha estado en Colombia. Y por qué terminarlo? O sea, nunca me gustaba como que hablar del tema, porque es el momento en que pasó. Yo no abri la boca, entonces después pasó un problema mediático donde hicieron cuando llegué a Ecuador y hicieron ver como que yo estaba haciendo lo que no estaba haciendo. Y ella se aprovechó eso. Entonces desde ese momento empezó como una guerra mediática. Y yo decidí siempre que arme, que yo dije, si en el primer momento que pasó todo yo como que había nunca salía a decir que había pasado, no voy a decir lo tiempo después para hacer show. Es realmente digamos que simplemente cuando salimos el reality, yo siempre digo, era otra vida, era algo totalmente distinto. A vida, a vida. Lo que yo esperaba aquí va a ser la relación, fue totalmente distinto, vi cosas que no me vi ver. Y ya, en realidad incluso, al tiempo que la gente mediáticamente se enteró, que ya hemos terminado, nos hemos terminado mucho tiempo antes. Pero tampoco la hemos dicho.",1,0,0,Spanish
